"official_name","post_code4","post_code6","canton_label_short","latitude","longitude"
"Zürich",8001,800100,"ZH",47.372774395758,8.5413505127349
"Zürich",8002,800200,"ZH",47.360517988909,8.531459656789
"Zürich",8003,800300,"ZH",47.372580549971,8.5161351627914
"Zürich",8004,800400,"ZH",47.378000020366,8.5233559405125
"Zürich",8005,800500,"ZH",47.386768432836,8.5206734782555
"Zürich",8006,800600,"ZH",47.385764167675,8.5431555594007
"Zürich",8008,800800,"ZH",47.355906774818,8.5629755175526
"Zürich",8032,803200,"ZH",47.366686999795,8.5644208600751
"Zürich",8037,803700,"ZH",47.39849148827,8.5242498736475
"Zürich",8038,803800,"ZH",47.340794625147,8.532074661789
"Zürich",8041,804100,"ZH",47.336055602965,8.5156490513978
"Zürich",8044,804400,"ZH",47.380412437468,8.5728288114286
"Zürich",8045,804500,"ZH",47.351610819941,8.5056919642905
"Zürich",8046,804600,"ZH",47.422180431499,8.5082716515878
"Zürich",8047,804700,"ZH",47.373891998678,8.4870038589822
"Zürich",8048,804800,"ZH",47.386738527779,8.4838525983494
"Zürich",8049,804900,"ZH",47.408697065501,8.5004484344277
"Zürich",8050,805000,"ZH",47.411938750257,8.5507874182135
"Zürich",8051,805100,"ZH",47.399648348173,8.5788023498118
"Zürich",8052,805200,"ZH",47.424449303772,8.5406175304684
"Zürich",8053,805300,"ZH",47.36128750228,8.5974033412766
"Zürich",8055,805500,"ZH",47.364183467479,8.4902816617853
"Zürich",8057,805700,"ZH",47.39992700063,8.5473837360789
"Zürich",8064,806400,"ZH",47.398653404412,8.4852387830053
"Waltalingen",8468,846800,"ZH",47.622012994175,8.7733984702307
"Guntalingen",8468,846802,"ZH",47.634228422987,8.7655084089696
"Unterstammheim",8476,847600,"ZH",47.64083612158,8.7923047807569
"Oberstammheim",8477,847700,"ZH",47.634013816204,8.8011264979025
"Au ZH",8804,880400,"ZH",47.248052938681,8.6464432892184
"Wädenswil",8820,882000,"ZH",47.228471318815,8.6717259656531
"Schönenberg ZH",8824,882400,"ZH",47.192905849361,8.6450266206124
"Hütten",8825,882500,"ZH",47.175649890923,8.6690047734526
"Elgg",8353,835300,"ZH",47.490182264283,8.8675566484304
"Hofstetten ZH",8354,835400,"ZH",47.473108189944,8.8536983382374
"Dickbuch",8354,835401,"ZH",47.496395047563,8.8316342019467
"Sihlbrugg Station",8135,813502,"ZH",47.242701174914,8.5747280608537
"Sihlwald",8135,813503,"ZH",47.268281955561,8.5575104419909
"Horgen",8810,881000,"ZH",47.259522317609,8.5973766816433
"Horgenberg",8815,881500,"ZH",47.247863939418,8.5838869842679
"Hirzel",8816,881600,"ZH",47.21702317016,8.6066615892136
"Effretikon",8307,830700,"ZH",47.428152308205,8.6894715757579
"Ottikon b. Kemptthal",8307,830702,"ZH",47.434680198487,8.7168683590105
"Illnau",8308,830800,"ZH",47.408961799857,8.7226118341015
"Agasul",8308,830802,"ZH",47.425191684078,8.7433095181566
"Kyburg",8314,831400,"ZH",47.457784375544,8.7446785390947
"Saland",8493,849300,"ZH",47.391116131853,8.8534688989831
"Bauma",8494,849400,"ZH",47.367289809263,8.8772264648285
"Sternenberg",8499,849900,"ZH",47.38730239454,8.9117425430894
"Wiesendangen",8542,854200,"ZH",47.521262313064,8.7895003614486
"Bertschikon",8543,854300,"ZH",47.526806159629,8.8144889226617
"Gundetswil",8543,854301,"ZH",47.539845947679,8.8223184431693
"Kefikon ZH",8543,854302,"ZH",47.548890049905,8.8310038083632
"Attikon",8544,854400,"ZH",47.535870644507,8.797947412893
"Menzengrüt",8546,854603,"ZH",47.549647538293,8.8218295739042
"Aarberg",3270,327000,"BE",47.043542745861,7.2752981732956
"Bargen BE",3282,328200,"BE",47.04015158923,7.2573084892476
"Grossaffoltern",3257,325700,"BE",47.06624923308,7.3656676640341
"Ammerzwil BE",3257,325701,"BE",47.06998969272,7.3396744773126
"Suberg",3262,326200,"BE",47.061647591291,7.3354381709171
"Golaten",3207,320702,"BE",46.985706343634,7.2422708858922
"Kallnach",3283,328300,"BE",47.017806333277,7.2299874559036
"Niederried b. Kallnach",3283,328302,"BE",47.010540828876,7.2523849536186
"Kappelen",3273,327300,"BE",47.06019034873,7.2675867199885
"Lyss",3250,325000,"BE",47.070578138076,7.3075104482959
"Busswil BE",3292,329200,"BE",47.100592446779,7.322440749442
"Ortschwaben",3042,304200,"BE",46.990582006258,7.4018949256891
"Meikirch",3045,304500,"BE",47.009344545142,7.3626546789653
"Wahlendorf",3046,304600,"BE",47.007715308037,7.3378430734085
"Detligen",3036,303600,"BE",47.001738924822,7.2727956418432
"Radelfingen b. Aarberg",3271,327100,"BE",47.021855555278,7.2690636845346
"Lätti",3053,305305,"BE",47.039475919585,7.4302426087227
"Ruppoldsried",3251,325102,"BE",47.089065046193,7.4265077697526
"Rapperswil BE",3255,325500,"BE",47.062318762608,7.4052945694104
"Dieterswil",3256,325600,"BE",47.055207738673,7.4250281689724
"Bangerten b. Dieterswil",3256,325602,"BE",47.056728349546,7.4476531465075
"Seewil",3256,325603,"BE",47.046326710717,7.4093312789313
"Schüpfen",3054,305400,"BE",47.038209260179,7.376797478887
"Frieswil",3035,303500,"BE",46.994929243206,7.2854770542868
"Wiler b. Seedorf",3266,326600,"BE",47.048535889415,7.3199741463829
"Seedorf BE",3267,326700,"BE",47.034215236039,7.3110989108638
"Lobsigen",3268,326800,"BE",47.026800497631,7.2935945841458
"Aarwangen",4912,491200,"BE",47.240872039983,7.7634049495769
"Auswil",4944,494400,"BE",47.134660568059,7.8326742374977
"Bannwil",4913,491300,"BE",47.237399569241,7.7299449511621
"Bleienbach",3368,336800,"BE",47.183294795498,7.7608127176289
"Busswil b. Melchnau",4917,491702,"BE",47.186082552498,7.8279732111378
"Gondiswil",4955,495500,"BE",47.146230865975,7.8719293972266
"Langenthal",4900,490000,"BE",47.211589436986,7.7924919394142
"Untersteckholz",4916,491600,"BE",47.204960747085,7.8467338033269
"Lotzwil",4932,493200,"BE",47.189726789133,7.7883229609953
"Gutenburg",4932,493202,"BE",47.181573386997,7.7955125230782
"Madiswil",4934,493400,"BE",47.167367354376,7.7994009827727
"Leimiswil",4935,493500,"BE",47.148915674073,7.7610673530798
"Kleindietwil",4936,493600,"BE",47.146237015299,7.7911108813607
"Melchnau",4917,491700,"BE",47.183237712131,7.8568852689877
"Obersteckholz",4924,492400,"BE",47.199508033897,7.8183445540185
"Oeschenbach",4943,494300,"BE",47.101703309093,7.7471623618044
"Reisiswil",4919,491900,"BE",47.165124021485,7.8462850563906
"Roggwil BE",4914,491400,"BE",47.239901552535,7.82168230228
"Rohrbach",4938,493800,"BE",47.132884817623,7.8122309187938
"Rohrbachgraben",4938,493802,"BE",47.120842076138,7.8004977409506
"Rütschelen",4933,493300,"BE",47.173218316139,7.7710935761596
"Schwarzhäusern",4911,491100,"BE",47.255109762886,7.7700308609409
"Bützberg",4922,492200,"BE",47.216664922843,7.7445251731723
"Thunstetten",4922,492202,"BE",47.20149870874,7.7516047898872
"Ursenbach",4937,493700,"BE",47.135677335364,7.7729036987946
"Wynau",4923,492300,"BE",47.258831050596,7.8148156801906
"Bern",3004,300400,"BE",46.980485563032,7.4520170527346
"Bern",3005,300500,"BE",46.939386782739,7.4499317772305
"Bern",3006,300600,"BE",46.945805273762,7.4712771309596
"Bern",3007,300700,"BE",46.939171382701,7.4345922117656
"Bern",3008,300800,"BE",46.945096631411,7.4139047726907
"Bern",3010,301000,"BE",46.946951397143,7.4241492599786
"Bern",3011,301100,"BE",46.953525438698,7.4619285182168
"Bern",3012,301200,"BE",46.961577806049,7.4260241400902
"Bern",3013,301300,"BE",46.956208123066,7.4462043153004
"Bern",3014,301400,"BE",46.96219746224,7.4584110843454
"Bern",3015,301500,"BE",46.940205595911,7.4848142716523
"Bern",3018,301800,"BE",46.933889553174,7.3891169726944
"Bern",3019,301900,"BE",46.93097689941,7.3479534855543
"Bern",3020,302000,"BE",46.937078026104,7.3208767992942
"Bern",3027,302700,"BE",46.955801069869,7.3872575712087
"Bolligen",3065,306500,"BE",46.975029786969,7.4962776760505
"Bremgarten b. Bern",3047,304700,"BE",46.978516324648,7.4343526791692
"Herrenschwanden",3037,303700,"BE",46.976544444634,7.417110154747
"Kirchlindach",3038,303800,"BE",46.999652398964,7.4143003787394
"Wabern",3084,308400,"BE",46.928583554263,7.449535590908
"Spiegel b. Bern",3095,309500,"BE",46.925561531368,7.4329388774455
"Liebefeld",3097,309700,"BE",46.929724189223,7.4157895547206
"Köniz",3098,309800,"BE",46.921106254898,7.4134300432114
"Schliern b. Köniz",3098,309801,"BE",46.90924207571,7.4161264013591
"Gasel",3144,314400,"BE",46.90087241566,7.4007356843565
"Niederscherli",3145,314500,"BE",46.885664330075,7.3855139675826
"Mittelhäusern",3147,314700,"BE",46.876470662558,7.3680107068969
"Niederwangen b. Bern",3172,317200,"BE",46.92586886062,7.3768872879743
"Oberwangen b. Bern",3173,317300,"BE",46.91585658541,7.3611589565147
"Thörishaus",3174,317400,"BE",46.894045323647,7.3517949125544
"Gümligen",3073,307300,"BE",46.935047860642,7.5092750318323
"Muri b. Bern",3074,307400,"BE",46.928366340359,7.4884806476524
"Oberbalm",3096,309600,"BE",46.872961236467,7.4046248534051
"Stettlen",3066,306600,"BE",46.959137041025,7.5226023909269
"Boll",3067,306700,"BE",46.95352098641,7.5476058319247
"Utzigen",3068,306800,"BE",46.960816603466,7.5646612042807
"Hinterkappelen",3032,303200,"BE",46.967885787622,7.3774565857022
"Wohlen b. Bern",3033,303300,"BE",46.970615627982,7.3556791000407
"Murzelen",3034,303400,"BE",46.9817867897,7.3148378807384
"Uettligen",3043,304300,"BE",46.987283449176,7.3856894987388
"Innerberg",3044,304402,"BE",46.995318616414,7.3095084846551
"Säriswil",3049,304900,"BE",46.991790653291,7.3341789265022
"Zollikofen",3052,305200,"BE",46.992897377872,7.461419742315
"Worblaufen",3048,304800,"BE",46.978793675489,7.457668051769
"Ittigen",3063,306300,"BE",46.975261737057,7.4798767381638
"Ostermundigen",3072,307200,"BE",46.957686377519,7.4976648050183
"Biel/Bienne",2502,250200,"BE",47.141982873372,7.2457318668488
"Biel/Bienne",2503,250300,"BE",47.131416642618,7.2528741113779
"Biel/Bienne",2504,250400,"BE",47.156322688808,7.2826550090653
"Biel/Bienne",2505,250500,"BE",47.133692671848,7.2174623453932
"Magglingen/Macolin",2532,253200,"BE",47.142056485796,7.2167159264274
"Evilard",2533,253300,"BE",47.149807026339,7.239638649365
"Arch",3296,329600,"BE",47.163857587284,7.4275326979431
"Büetigen",3263,326300,"BE",47.106564527203,7.3412010153859
"Büren an der Aare",3294,329400,"BE",47.139886774823,7.3740699721
"Diessbach b. Büren",3264,326400,"BE",47.10691537914,7.3655200744484
"Dotzigen",3293,329300,"BE",47.120940266733,7.3434282621287
"Lengnau BE",2543,254300,"BE",47.182375415082,7.3691769406621
